sound	utterance	word	trans	f1	f2	duration	step_time
a	u_3	агъь	лучший	--undefined--	--undefined--	0.1966950354	4.3562600584
a	cf	агъь	лучший	--undefined--	--undefined--	0.1982685957	5.4207466818
a	cf	агъь	лучший	--undefined--	--undefined--	0.1982685957	5.4307466818
a	cf	агъь	лучший	--undefined--	--undefined--	0.1982685957	5.4407466818
a	cf	агъь	лучший	950.9882609514	1596.2837737479	0.1982685957	5.4507466818
a	cf	агъь	лучший	947.7277669903	1610.7032851365	0.1982685957	5.4607466818
a	cf	агъь	лучший	929.2440429827	1606.1684810062	0.1982685957	5.4707466818
a	cf	агъь	лучший	894.1403818715	1608.7083730374	0.1982685957	5.4807466818
a	cf	агъь	лучший	849.942766128	1620.8981549228	0.1982685957	5.4907466818
a	cf	агъь	лучший	827.7369715557	1622.1798940129	0.1982685957	5.5007466818
a	cf	агъь	лучший	795.2808381718	1618.1172827129	0.1982685957	5.5107466818
a	cf	агъь	лучший	788.6584071208	1682.9254590764	0.1982685957	5.5207466818
a	cf	агъь	лучший	783.9107349265	1695.2210678866	0.1982685957	5.5307466818
a	cf	агъь	лучший	807.9030224834	1736.0173697705	0.1982685957	5.5407466818
a	cf	агъь	лучший	813.0408598258	1785.8357870527	0.1982685957	5.5507466818
a	cf	агъь	лучший	797.0018878268	1812.7402435068	0.1982685957	5.5607466818
a	cf	агъь	лучший	791.7877479328	1881.6615672909	0.1982685957	5.5707466818
a	cf	агъь	лучший	802.6215441717	1979.006891593	0.1982685957	5.5807466818
a	cf	агъь	лучший	823.2743412309	2089.4175074405	0.1982685957	5.5907466818
a	cf	агъь	лучший	--undefined--	--undefined--	0.1982685957	5.6007466818
a	cf	агъь	лучший	--undefined--	--undefined--	0.1982685957	5.6107466818
a	u_1	адз	иней	--undefined--	--undefined--	0.1620767092	9.7896079584
a	u_1	адз	иней	--undefined--	--undefined--	0.1620767092	9.7996079584
a	u_1	адз	иней	--undefined--	--undefined--	0.1620767092	9.8096079584
a	u_1	адз	иней	959.4548389441	1501.4659797792	0.1620767092	9.8196079584
a	u_1	адз	иней	938.9019422813	1499.6962531596	0.1620767092	9.8296079584
a	u_1	адз	иней	930.6115023906	1496.4275562579	0.1620767092	9.8396079584
a	u_1	адз	иней	907.5613908573	1514.1459892259	0.1620767092	9.8496079584
a	u_1	адз	иней	898.2274565723	1522.0960105816	0.1620767092	9.8596079584
a	u_1	адз	иней	899.098256972	1547.9375059713	0.1620767092	9.8696079584
a	u_1	адз	иней	891.4452101269	1574.1940346875	0.1620767092	9.8796079584
a	u_1	адз	иней	886.5311594522	1604.3611897019	0.1620767092	9.8896079584
a	u_1	адз	иней	891.3784071908	1637.1999895524	0.1620767092	9.8996079584
a	u_1	адз	иней	864.896640851	1679.0181508548	0.1620767092	9.9096079584
a	u_1	адз	иней	813.8584513284	1723.9091939883	0.1620767092	9.9196079584
a	u_1	адз	иней	--undefined--	--undefined--	0.1620767092	9.9296079584
a	u_1	адз	иней	--undefined--	--undefined--	0.1620767092	9.9396079584
a	u_1	адз	иней	--undefined--	--undefined--	0.1620767092	9.9496079584
a	u_2	адз	иней	--undefined--	--undefined--	0.1809594326	11.0221964407
a	u_2	адз	иней	--undefined--	--undefined--	0.1809594326	11.0321964407
a	u_2	адз	иней	--undefined--	--undefined--	0.1809594326	11.0421964407
a	u_2	адз	иней	976.0010583128	1514.4445862102	0.1809594326	11.0521964407
a	u_2	адз	иней	998.4913010331	1518.4068704216	0.1809594326	11.0621964407
a	u_2	адз	иней	1004.5058292691	1516.2621506381	0.1809594326	11.0721964407
a	u_2	адз	иней	1010.2587572243	1523.0665024419	0.1809594326	11.0821964407
a	u_2	адз	иней	995.0765018154	1529.9472300617	0.1809594326	11.0921964407
a	u_2	адз	иней	992.784143167	1523.2061518006	0.1809594326	11.1021964407
a	u_2	адз	иней	985.2991603544	1536.5890990893	0.1809594326	11.1121964407
a	u_2	адз	иней	950.2213210227	1530.7262887323	0.1809594326	11.1221964407
a	u_2	адз	иней	908.1703236031	1543.4810875215	0.1809594326	11.1321964407
a	u_2	адз	иней	874.528556892	1570.3030454275	0.1809594326	11.1421964407
a	u_2	адз	иней	854.3505543112	1603.3632859163	0.1809594326	11.1521964407
a	u_2	адз	иней	823.2076911103	1659.2060684798	0.1809594326	11.1621964407
a	u_2	адз	иней	752.7021355359	1638.5472166564	0.1809594326	11.1721964407
a	u_2	адз	иней	--undefined--	--undefined--	0.1809594326	11.1821964407
a	u_2	адз	иней	--undefined--	--undefined--	0.1809594326	11.1921964407
a	u_2	адз	иней	--undefined--	--undefined--	0.1809594326	11.2021964407
a	u_3	адз	иней	--undefined--	--undefined--	0.2077099574	12.3462689513
a	u_3	адз	иней	--undefined--	--undefined--	0.2077099574	12.3562689513
a	u_3	адз	иней	--undefined--	--undefined--	0.2077099574	12.3662689513
a	u_3	адз	иней	927.242882533	1496.527507881	0.2077099574	12.3762689513
a	u_3	адз	иней	943.6399088372	1525.3770296541	0.2077099574	12.3862689513
a	u_3	адз	иней	942.9795945411	1527.0678780284	0.2077099574	12.3962689513
a	u_3	адз	иней	919.9229054128	1512.939532847	0.2077099574	12.4062689513
a	u_3	адз	иней	921.4797910306	1515.3085322366	0.2077099574	12.4162689513
a	u_3	адз	иней	925.1504585141	1518.8244569793	0.2077099574	12.4262689513
a	u_3	адз	иней	955.5802572604	1550.9828887156	0.2077099574	12.4362689513
a	u_3	адз	иней	985.1681013388	1520.7665174122	0.2077099574	12.4462689513
a	u_3	адз	иней	944.7961171311	1523.0319193865	0.2077099574	12.4562689513
a	u_3	адз	иней	931.8040073022	1570.7774926384	0.2077099574	12.4662689513
a	u_3	адз	иней	916.5335259218	1590.1371013565	0.2077099574	12.4762689513
a	u_3	адз	иней	898.1073819682	1563.0058956487	0.2077099574	12.4862689513
a	u_3	адз	иней	874.7035634357	1625.049166938	0.2077099574	12.4962689513
a	u_3	адз	иней	815.6571971442	1645.0293525492	0.2077099574	12.5062689513
a	u_3	адз	иней	755.9381792686	1645.3384007671	0.2077099574	12.5162689513
a	u_3	адз	иней	703.2526791177	1641.0438910914	0.2077099574	12.5262689513
a	u_3	адз	иней	--undefined--	--undefined--	0.2077099574	12.5362689513
a	u_3	адз	иней	--undefined--	--undefined--	0.2077099574	12.5462689513
a	cf	адз	иней	--undefined--	--undefined--	0.1557824681	13.4981964407
a	cf	адз	иней	--undefined--	--undefined--	0.1557824681	13.5081964407
a	cf	адз	иней	--undefined--	--undefined--	0.1557824681	13.5181964407
a	cf	адз	иней	971.6861389891	1530.8720372338	0.1557824681	13.5281964407
a	cf	адз	иней	956.6948339942	1535.4544139392	0.1557824681	13.5381964407
a	cf	адз	иней	954.8953657848	1493.9464211233	0.1557824681	13.5481964407
a	cf	адз	иней	982.4489805571	1519.666947806	0.1557824681	13.5581964407
a	cf	адз	иней	980.5883753217	1532.8507578455	0.1557824681	13.5681964407
a	cf	адз	иней	934.2114669114	1538.377182289	0.1557824681	13.5781964407
a	cf	адз	иней	890.2943120157	1542.4981780036	0.1557824681	13.5881964407
a	cf	адз	иней	838.8126344398	1550.7074093274	0.1557824681	13.5981964407
a	cf	адз	иней	802.5025748076	1561.0592264381	0.1557824681	13.6081964407
a	cf	адз	иней	777.8922881332	1571.2937541836	0.1557824681	13.6181964407
a	cf	адз	иней	750.6732623059	1577.7505161086	0.1557824681	13.6281964407
a	cf	адз	иней	--undefined--	--undefined--	0.1557824681	13.6381964407
a	cf	адз	иней	--undefined--	--undefined--	0.1557824681	13.6481964407
a	u_1	апш	такой	--undefined--	--undefined--	0.1253013898	17.6658370293
a	u_1	апш	такой	--undefined--	--undefined--	0.1253013898	17.6758370293
a	u_1	апш	такой	--undefined--	--undefined--	0.1253013898	17.6858370293
a	u_1	апш	такой	1023.2703839587	1496.1326700155	0.1253013898	17.6958370293
a	u_1	апш	такой	1034.3738280155	1526.6212759926	0.1253013898	17.7058370293
a	u_1	апш	такой	1022.5054673382	1503.703665671	0.1253013898	17.7158370293
a	u_1	апш	такой	964.4639816423	1513.5457349134	0.1253013898	17.7258370293
a	u_1	апш	такой	968.6248623615	1504.9434819512	0.1253013898	17.7358370293
a	u_1	апш	такой	963.1403736229	1525.8288282774	0.1253013898	17.7458370293
a	u_1	апш	такой	928.5165349063	1547.4502016808	0.1253013898	17.7558370293
a	u_1	апш	такой	908.4032049566	1582.2047920259	0.1253013898	17.7658370293
a	u_1	апш	такой	--undefined--	--undefined--	0.1253013898	17.7758370293
a	u_1	апш	такой	--undefined--	--undefined--	0.1253013898	17.7858370293
a	u_2	апш	такой	--undefined--	--undefined--	0.1498702898	18.9090233678
a	u_2	апш	такой	--undefined--	--undefined--	0.1498702898	18.9190233678
a	u_2	апш	такой	--undefined--	--undefined--	0.1498702898	18.9290233678
a	u_2	апш	такой	930.2032862894	1484.1696452218	0.1498702898	18.9390233678
a	u_2	апш	такой	962.3508121922	1453.5124857099	0.1498702898	18.9490233678
a	u_2	апш	такой	999.0756543595	1494.0506220323	0.1498702898	18.9590233678
a	u_2	апш	такой	978.2434473675	1438.1428485507	0.1498702898	18.9690233678
a	u_2	апш	такой	987.5914427568	1448.0640523995	0.1498702898	18.9790233678
a	u_2	апш	такой	950.7365188584	1415.7460421291	0.1498702898	18.9890233678
a	u_2	апш	такой	883.9596707812	1320.1347392255	0.1498702898	18.9990233678
a	u_2	апш	такой	872.7501060058	1369.625263377	0.1498702898	19.0090233678
a	u_2	апш	такой	841.4671616031	1325.4875268621	0.1498702898	19.0190233678
a	u_2	апш	такой	857.1118415379	1329.9484163096	0.1498702898	19.0290233678
a	u_2	апш	такой	--undefined--	--undefined--	0.1498702898	19.0390233678
a	u_2	апш	такой	--undefined--	--undefined--	0.1498702898	19.0490233678
a	u_3	апш	такой	--undefined--	--undefined--	0.1351289498	20.063457474
a	u_3	апш	такой	--undefined--	--undefined--	0.1351289498	20.073457474
a	u_3	апш	такой	--undefined--	--undefined--	0.1351289498	20.083457474
a	u_3	апш	такой	922.3466647672	1511.1682974144	0.1351289498	20.093457474
a	u_3	апш	такой	916.9256136783	1472.8354773791	0.1351289498	20.103457474
a	u_3	апш	такой	919.974090437	1444.5505003969	0.1351289498	20.113457474
a	u_3	апш	такой	918.0473790639	1448.6902446589	0.1351289498	20.123457474
a	u_3	апш	такой	919.4503795605	1481.0132800425	0.1351289498	20.133457474
a	u_3	апш	такой	904.9781905728	1502.548130857	0.1351289498	20.143457474
a	u_3	апш	такой	859.3373440354	1476.0579584907	0.1351289498	20.153457474
a	u_3	апш	такой	838.1800371793	1475.1909913761	0.1351289498	20.163457474
a	u_3	апш	такой	843.6440735365	1476.7910745623	0.1351289498	20.173457474
a	u_3	апш	такой	--undefined--	--undefined--	0.1351289498	20.183457474
a	u_3	апш	такой	--undefined--	--undefined--	0.1351289498	20.193457474
a	cf	апш	такой	--undefined--	--undefined--	0.1351289498	21.1857088398
a	cf	апш	такой	--undefined--	--undefined--	0.1351289498	21.1957088398
a	cf	апш	такой	--undefined--	--undefined--	0.1351289498	21.2057088398
a	cf	апш	такой	966.7786372485	1537.72811618	0.1351289498	21.2157088398
a	cf	апш	такой	979.6477243898	1552.914410328	0.1351289498	21.2257088398
a	cf	апш	такой	978.9311819892	1551.783748326	0.1351289498	21.2357088398
a	cf	апш	такой	953.9898997574	1545.3896079881	0.1351289498	21.2457088398
a	cf	апш	такой	939.6692733252	1562.3485121752	0.1351289498	21.2557088398
a	cf	апш	такой	929.1325971784	1535.308071695	0.1351289498	21.2657088398
a	cf	апш	такой	885.8611528034	1510.9170028556	0.1351289498	21.2757088398
a	cf	апш	такой	869.3233717554	1547.8225903467	0.1351289498	21.2857088398
a	cf	апш	такой	874.0474688772	1564.2178294541	0.1351289498	21.2957088398
a	cf	апш	такой	--undefined--	--undefined--	0.1351289498	21.3057088398
a	cf	апш	такой	--undefined--	--undefined--	0.1351289498	21.3157088398
a	u_1	ба	ты_к_женщине	--undefined--	--undefined--	0.1842667498	25.8653108592
a	u_1	ба	ты_к_женщине	--undefined--	--undefined--	0.1842667498	25.8753108592
a	u_1	ба	ты_к_женщине	--undefined--	--undefined--	0.1842667498	25.8853108592
a	u_1	ба	ты_к_женщине	741.7171417933	1395.0487561028	0.1842667498	25.8953108592
a	u_1	ба	ты_к_женщине	763.1375947877	1413.7266000176	0.1842667498	25.9053108592
a	u_1	ба	ты_к_женщине	775.1045950011	1471.1690848008	0.1842667498	25.9153108592
