participant_id,age,handedness,sex,question_id,answer,time_ms
021a49cde484f8fa18439f026ec99459,26,right,female,99,Correct,1456
021a49cde484f8fa18439f026ec99459,26,right,female,100,Correct,1078
021a49cde484f8fa18439f026ec99459,26,right,female,101,Correct,1557
021a49cde484f8fa18439f026ec99459,26,right,female,102,Correct,2580
021a49cde484f8fa18439f026ec99459,26,right,female,103,Correct,1288
021a49cde484f8fa18439f026ec99459,26,right,female,104,Correct,1722
021a49cde484f8fa18439f026ec99459,26,right,female,105,Correct,1942
021a49cde484f8fa18439f026ec99459,26,right,female,106,Correct,1383
021a49cde484f8fa18439f026ec99459,26,right,female,107,Correct,1521
021a49cde484f8fa18439f026ec99459,26,right,female,108,Wrong,1173
021a49cde484f8fa18439f026ec99459,26,right,female,109,Wrong,1984
021a49cde484f8fa18439f026ec99459,26,right,female,110,Wrong,1435
021a49cde484f8fa18439f026ec99459,26,right,female,111,Wrong,1668
021a49cde484f8fa18439f026ec99459,26,right,female,112,Wrong,1203
021a49cde484f8fa18439f026ec99459,26,right,female,113,Wrong,1669
021a49cde484f8fa18439f026ec99459,26,right,female,114,Wrong,1318
021a49cde484f8fa18439f026ec99459,26,right,female,115,Wrong,2135
021a49cde484f8fa18439f026ec99459,26,right,female,116,Wrong,2981
021a49cde484f8fa18439f026ec99459,26,right,female,117,Correct,1125
021a49cde484f8fa18439f026ec99459,26,right,female,118,Wrong,2068
021a49cde484f8fa18439f026ec99459,26,right,female,119,Wrong,1430
021a49cde484f8fa18439f026ec99459,26,right,female,120,Wrong,1347
021a49cde484f8fa18439f026ec99459,26,right,female,121,Wrong,2150
021a49cde484f8fa18439f026ec99459,26,right,female,122,Wrong,1985
021a49cde484f8fa18439f026ec99459,26,right,female,123,Wrong,1878
021a49cde484f8fa18439f026ec99459,26,right,female,124,Wrong,4279
021a49cde484f8fa18439f026ec99459,26,right,female,125,Wrong,1382
021a49cde484f8fa18439f026ec99459,26,right,female,126,Wrong,1799
021a49cde484f8fa18439f026ec99459,26,right,female,127,Wrong,1561
021a49cde484f8fa18439f026ec99459,26,right,female,128,Wrong,2214
021a49cde484f8fa18439f026ec99459,26,right,female,129,Wrong,2411
021a49cde484f8fa18439f026ec99459,26,right,female,130,Wrong,1971
021a49cde484f8fa18439f026ec99459,26,right,female,131,Wrong,1461
021a49cde484f8fa18439f026ec99459,26,right,female,132,Wrong,1720
021a49cde484f8fa18439f026ec99459,26,right,female,133,Wrong,2100
021a49cde484f8fa18439f026ec99459,26,right,female,134,Wrong,1520
02810ff2a65eae2b3e54ac57d906309d,24,right,female,81,Correct,2715
