stimulus_id,tense_expected,target_eng,agreement,s_id
27,FUT,run,0,10
29,FUT,bend,0,10
4,PROG,tear,0,10
7,PROG,fly,0,10
13,PROG,disappear,0,10
15,PROG,run,0,10
17,PROG,pray,0,10
21,PROG,bend,0,10
25,PROG,fall,0,10
30,PROG,win,0,10
1,AOR,fly,0,11
3,AOR,run,0,11
9,AOR,tear,0,11
11,AOR,disappear,0,11
14,AOR,bend,0,11
16,AOR,fall,0,11
18,AOR,win,0,11
26,AOR,pray,0,11
2,FUT,fall,0,11
6,FUT,win,0,11
8,FUT,pray,0,11
10,FUT,fly,0,11
19,FUT,disappear,0,11
22,FUT,tear,0,11
27,FUT,run,0,11
29,FUT,bend,0,11
4,PROG,tear,0,11
7,PROG,fly,0,11
13,PROG,disappear,0,11
15,PROG,run,0,11
17,PROG,pray,0,11
21,PROG,bend,0,11
25,PROG,fall,0,11
30,PROG,win,0,11
1,AOR,fly,0,12
3,AOR,run,0,12
11,AOR,disappear,0,12
16,AOR,fall,0,12
18,AOR,win,0,12
26,AOR,pray,0,12
2,FUT,fall,0,12
6,FUT,win,0,12
8,FUT,pray,0,12
22,FUT,tear,1,12
4,PROG,tear,0,12
15,PROG,run,0,12
25,PROG,fall,0,12
30,PROG,win,0,12
1,AOR,fly,0,13
3,AOR,run,0,13
26,AOR,pray,0,13
2,FUT,fall,0,13
6,FUT,win,0,13
8,FUT,pray,0,13
10,FUT,fly,1,13
19,FUT,disappear,0,13
22,FUT,tear,0,13
27,FUT,run,0,13
29,FUT,bend,0,13
4,PROG,tear,0,13
13,PROG,disappear,0,13
15,PROG,run,0,13
17,PROG,pray,1,13
25,PROG,fall,0,13
30,PROG,win,0,13
9,AOR,tear,0,14
11,AOR,disappear,0,14
16,AOR,fall,0,14
2,FUT,fall,0,14
6,FUT,win,0,14
8,FUT,pray,0,14
19,FUT,disappear,0,14
22,FUT,tear,1,14
29,FUT,bend,0,14
4,PROG,tear,0,14
13,PROG,disappear,1,14
15,PROG,run,1,14
17,PROG,pray,1,14
21,PROG,bend,1,14
25,PROG,fall,1,14
30,PROG,win,1,14
9,AOR,tear,0,15
11,AOR,disappear,0,15
14,AOR,bend,0,15
26,AOR,pray,0,15
2,FUT,fall,0,15
6,FUT,win,0,15
8,FUT,pray,0,15
10,FUT,fly,0,15
19,FUT,disappear,0,15
22,FUT,tear,0,15
